Time,OverstimulationLevel,AdaptedLevel,AdaptationMultiplier,HeadRotationSpeed,DiscomfortLevel,ActiveTriggers
0.101,0.0000,0.0000,0.9815,0.00,0.0000,0
0.202,0.0000,0.0000,0.9676,0.00,0.0000,0
0.302,0.0000,0.0000,0.9707,0.00,0.0000,0
0.403,0.0000,0.0000,0.9797,0.00,0.0000,0
0.506,0.0000,0.0000,0.9826,0.00,0.0000,0
0.609,0.0000,0.0000,0.9825,0.00,0.0000,0
0.709,0.0000,0.0000,0.9874,0.00,0.0000,0
0.811,0.0000,0.0000,0.9964,0.00,0.0000,0
0.913,0.0000,0.0000,1.0005,0.00,0.0000,0
1.017,0.0000,0.0000,0.9949,0.00,0.0000,0
1.118,0.0000,0.0000,0.9925,0.00,0.0000,0
1.221,0.0000,0.0000,0.9934,0.00,0.0000,0
1.321,0.0000,0.0000,0.9961,0.00,0.0000,0
1.423,0.0000,0.0000,0.9961,0.00,0.0000,0
1.526,0.0000,0.0000,0.9972,0.00,0.0000,0
1.630,0.0000,0.0000,0.9996,0.00,0.0000,0
1.733,0.0000,0.0000,1.0044,0.00,0.0000,0
1.835,0.0000,0.0000,1.0099,0.00,0.0000,0
1.938,0.0000,0.0000,1.0162,0.00,0.0000,0
2.039,0.0000,0.0000,1.0238,0.00,0.0000,0
2.142,0.0000,0.0000,1.0352,0.00,0.0000,0
2.246,0.0000,0.0000,1.0445,0.00,0.0000,0
2.348,0.0000,0.0000,1.0543,0.00,0.0000,0
2.450,0.0000,0.0000,1.0643,0.00,0.0000,0
2.551,0.0000,0.0000,1.0770,0.00,0.0000,0
2.651,0.0000,0.0000,1.0887,0.00,0.0000,0
2.752,0.0000,0.0000,1.0994,0.00,0.0000,0
2.854,0.0000,0.0000,1.1093,0.00,0.0000,0
2.957,0.0000,0.0000,1.1181,0.00,0.0000,0
3.059,0.0000,0.0000,1.1260,0.00,0.0000,0
3.162,0.0000,0.0000,1.1333,0.00,0.0000,0
3.264,0.0000,0.0000,1.1397,0.00,0.0000,0
3.364,0.0000,0.0000,1.1455,0.00,0.0000,0
3.466,0.0000,0.0000,1.1508,0.00,0.0000,0
3.567,0.0000,0.0000,1.1555,0.00,0.0000,0
3.669,0.0000,0.0000,1.1599,0.00,0.0000,0
3.771,0.0000,0.0000,1.1638,0.00,0.0000,0
3.874,0.0000,0.0000,1.1672,0.00,0.0000,0
3.976,0.0000,0.0000,1.1705,0.00,0.0000,0
4.079,0.0000,0.0000,1.1734,0.00,0.0000,0
4.179,0.0000,0.0000,1.1759,0.00,0.0000,0
4.280,0.0000,0.0000,1.1783,0.00,0.0000,0
4.380,0.0000,0.0000,1.1803,0.00,0.0000,0
4.482,0.0000,0.0000,1.1822,0.00,0.0000,0
4.584,0.0000,0.0000,1.1840,0.00,0.0000,0
4.686,0.0000,0.0000,1.1855,0.00,0.0000,0
4.788,0.0000,0.0000,1.1869,0.00,0.0000,0
4.890,0.0000,0.0000,1.1882,0.00,0.0000,0
4.993,0.0000,0.0000,1.1893,0.00,0.0000,0
5.095,0.0000,0.0000,1.1904,0.00,0.0000,0
5.197,0.0000,0.0000,1.1913,0.00,0.0000,0
5.298,0.0077,0.0091,1.1922,0.00,0.0000,1
5.399,0.0177,0.0211,1.1929,0.00,0.0000,1
5.500,0.0278,0.0332,1.1936,0.00,0.0000,1
5.601,0.0379,0.0453,1.1942,0.00,0.0000,1
5.702,0.0480,0.0574,1.1948,0.00,0.0000,1
5.804,0.0582,0.0695,1.1953,0.00,0.0000,1
5.905,0.0684,0.0818,1.1957,0.00,0.0000,1
6.007,0.0784,0.0938,1.1961,0.00,0.0000,1
6.107,0.0885,0.1059,1.1965,0.00,0.0000,1
6.209,0.0987,0.1181,1.1968,0.00,0.0000,1
6.311,0.1089,0.1303,1.1972,0.00,0.0000,1
6.413,0.1191,0.1426,1.1974,0.00,0.0000,1
6.515,0.1293,0.1549,1.1977,0.00,0.0000,1
6.616,0.1394,0.1670,1.1979,0.00,0.0000,1
6.718,0.1496,0.1792,1.1981,0.00,0.0000,1
6.818,0.1596,0.1913,1.1983,0.00,0.0000,1
6.920,0.1698,0.2035,1.1985,0.00,0.0000,1
7.022,0.1801,0.2158,1.1986,0.00,0.0000,1
7.123,0.1902,0.2280,1.1987,0.00,0.0000,1
7.226,0.2004,0.2402,1.1989,0.00,0.0000,1
7.328,0.2106,0.2525,1.1990,0.00,0.0000,1
7.430,0.2207,0.2647,1.1991,0.00,0.0000,1
7.532,0.2310,0.2770,1.1992,0.00,0.0000,1
