Time,OverstimulationLevel,AdaptedLevel,AdaptationMultiplier,HeadRotationSpeed,DiscomfortLevel,ActiveTriggers
0.102,0.0000,0.0000,0.9814,0.00,0.0000,0
0.204,0.0000,0.0000,0.9723,0.00,0.0000,0
0.305,0.0000,0.0000,0.9852,0.00,0.0000,0
0.406,0.0000,0.0000,0.9976,0.00,0.0000,0
0.506,0.0000,0.0000,0.9889,0.00,0.0000,0
0.610,0.0000,0.0000,0.9775,0.00,0.0000,0
0.713,0.0000,0.0000,0.9693,0.00,0.0000,0
0.813,0.0000,0.0000,0.9683,0.00,0.0000,0
0.915,0.0000,0.0000,0.9700,0.00,0.0000,0
1.017,0.0000,0.0000,0.9628,0.00,0.0000,0
1.117,0.0000,0.0000,0.9572,0.00,0.0000,0
1.219,0.0000,0.0000,0.9554,0.00,0.0000,0
1.322,0.0000,0.0000,0.9566,0.00,0.0000,0
1.423,0.0000,0.0000,0.9599,0.00,0.0000,0
1.523,0.0000,0.0000,0.9641,0.00,0.0000,0
1.625,0.0000,0.0000,0.9700,0.00,0.0000,0
1.727,0.0000,0.0000,0.9773,0.00,0.0000,0
1.827,0.0000,0.0000,0.9853,0.00,0.0000,0
1.928,0.0000,0.0000,0.9941,0.00,0.0000,0
2.030,0.0000,0.0000,1.0038,0.00,0.0000,0
2.131,0.0000,0.0000,1.0169,0.00,0.0000,0
2.233,0.0000,0.0000,1.0284,0.00,0.0000,0
2.334,0.0000,0.0000,1.0379,0.00,0.0000,0
2.435,0.0000,0.0000,1.0500,0.00,0.0000,0
2.537,0.0000,0.0000,1.0645,0.00,0.0000,0
2.639,0.0000,0.0000,1.0776,0.00,0.0000,0
2.740,0.0000,0.0000,1.0894,0.00,0.0000,0
2.841,0.0000,0.0000,1.1001,0.00,0.0000,0
2.944,0.0000,0.0000,1.1099,0.00,0.0000,0
3.045,0.0000,0.0000,1.1185,0.00,0.0000,0
3.146,0.0000,0.0000,1.1264,0.00,0.0000,0
