Time,OverstimulationLevel,AdaptedLevel,AdaptationMultiplier,HeadRotationSpeed,DiscomfortLevel,ActiveTriggers
0.101,0.0000,0.0000,0.9884,1191.42,1.0000,0
0.212,0.0000,0.0000,0.9731,687.80,1.0000,0
0.332,0.0000,0.0000,0.9481,438.76,1.0000,0
0.439,0.0000,0.0000,0.9329,324.67,1.0000,0
0.554,0.0000,0.0000,0.9208,271.85,1.0000,0
0.675,0.0000,0.0000,0.9042,212.75,1.0000,0
0.786,0.0000,0.0000,0.8937,181.23,1.0000,0
0.910,0.0000,0.0000,0.8829,153.74,1.0000,0
1.021,0.0000,0.0000,0.8737,136.66,1.0000,0
1.149,0.0000,0.0000,0.8651,119.99,1.0000,0
1.270,0.0000,0.0000,0.8571,107.11,1.0000,0
1.378,0.0000,0.0000,0.8513,98.54,1.0000,0
1.499,0.0000,0.0000,0.8452,89.58,0.9931,0
1.606,0.0000,0.0000,0.8427,83.51,0.8919,0
1.732,0.0000,0.0000,0.8449,77.20,0.7867,0
1.832,0.0000,0.0000,0.8502,72.90,0.7151,0
1.934,0.0000,0.0000,0.8572,69.08,0.6514,0
2.051,0.0000,0.0000,0.8734,3.63,0.0000,0
2.158,0.0000,0.0000,0.9037,3.43,0.0000,0
2.258,0.0000,0.0000,0.9341,3.10,0.0000,0
2.380,0.0000,0.0000,0.9641,3.31,0.0000,0
2.497,0.0000,0.0000,0.9927,2.73,0.0000,0
2.600,0.0000,0.0000,1.0104,2.97,0.0000,0
2.720,0.0000,0.0000,1.0342,3.64,0.0000,0
2.840,0.0000,0.0000,1.0524,5.79,0.0000,0
2.957,0.0000,0.0000,1.0697,7.59,0.0000,0
3.073,0.0000,0.0000,1.0838,8.60,0.0000,0
3.186,0.0000,0.0000,1.0966,8.92,0.0000,0
3.303,0.0000,0.0000,1.1079,9.04,0.0000,0
3.417,0.0000,0.0000,1.1179,9.02,0.0000,0
3.525,0.0000,0.0000,1.1267,9.12,0.0000,0
3.639,0.0000,0.0000,1.1347,9.21,0.0000,0
3.747,0.0000,0.0000,1.1415,9.15,0.0000,0
3.859,0.0000,0.0000,1.1477,9.05,0.0000,0
3.968,0.0000,0.0000,1.1530,9.09,0.0000,0
4.076,0.0000,0.0000,1.1580,8.66,0.0000,0
4.190,0.0000,0.0000,1.1625,8.26,0.0000,0
4.296,0.0000,0.0000,1.1664,9.33,0.0000,0
4.409,0.0000,0.0000,1.1700,9.36,0.0000,0
4.519,0.0000,0.0000,1.1731,9.43,0.0000,0
4.625,0.0000,0.0000,1.1759,9.07,0.0000,0
4.739,0.0000,0.0000,1.1785,8.51,0.0000,0
4.848,0.0000,0.0000,1.1807,6.64,0.0000,0
4.954,0.0000,0.0000,1.1827,4.93,0.0000,0
5.065,0.0000,0.0000,1.1845,4.74,0.0000,0
5.172,0.0000,0.0000,1.1862,4.44,0.0000,0
5.283,0.0000,0.0000,1.1876,4.73,0.0000,0
5.389,0.0000,0.0000,1.1889,5.03,0.0000,0
5.493,0.0000,0.0000,1.1900,5.03,0.0000,0
5.604,0.0000,0.0000,1.1910,5.21,0.0000,0
5.708,0.0000,0.0000,1.1919,5.63,0.0000,0
5.816,0.0000,0.0000,1.1928,5.81,0.0000,0
5.920,0.0000,0.0000,1.1935,5.43,0.0000,0
6.032,0.0000,0.0000,1.1942,5.28,0.0000,0
6.140,0.0000,0.0000,1.1948,5.28,0.0000,0
6.244,0.0000,0.0000,1.1953,5.11,0.0000,0
6.352,0.0000,0.0000,1.1958,4.23,0.0000,0
6.458,0.0000,0.0000,1.1962,3.95,0.0000,0
6.560,0.0000,0.0000,1.1966,3.83,0.0000,0
6.664,0.0000,0.0000,1.1969,3.81,0.0000,0
6.772,0.0000,0.0000,1.1972,3.96,0.0000,0
6.873,0.0000,0.0000,1.1975,4.16,0.0000,0
6.981,0.0000,0.0000,1.1978,4.25,0.0000,0
7.083,0.0000,0.0000,1.1980,3.61,0.0000,0
7.188,0.0000,0.0000,1.1982,3.58,0.0000,0
7.290,0.0000,0.0000,1.1984,3.12,0.0000,0
7.395,0.0000,0.0000,1.1985,2.81,0.0000,0
7.498,0.0000,0.0000,1.1987,2.94,0.0000,0
7.615,0.0000,0.0000,1.1988,2.71,0.0000,0
7.716,0.0000,0.0000,1.1989,2.71,0.0000,0
7.829,0.0000,0.0000,1.1991,3.27,0.0000,0
7.942,0.0000,0.0000,1.1992,3.27,0.0000,0
8.055,0.0000,0.0000,1.1993,3.41,0.0000,0
8.167,0.0000,0.0000,1.1993,3.53,0.0000,0
8.279,0.0000,0.0000,1.1994,3.27,0.0000,0
8.391,0.0000,0.0000,1.1995,3.66,0.0000,0
8.507,0.0000,0.0000,1.1995,3.62,0.0000,0
8.617,0.0000,0.0000,1.1996,4.37,0.0000,0
8.733,0.0000,0.0000,1.1996,6.26,0.0000,0
8.848,0.0000,0.0000,1.1997,6.86,0.0000,0
8.959,0.0000,0.0000,1.1997,7.41,0.0000,0
9.071,0.0000,0.0000,1.1997,7.70,0.0000,0
9.186,0.0000,0.0000,1.1998,7.41,0.0000,0
9.298,0.0000,0.0000,1.1998,7.63,0.0000,0
9.412,0.0000,0.0000,1.1998,7.92,0.0000,0
9.524,0.0000,0.0000,1.1998,8.38,0.0000,0
9.640,0.0000,0.0000,1.1998,8.73,0.0000,0
9.754,0.0000,0.0000,1.1999,8.47,0.0000,0
9.866,0.0000,0.0000,1.1999,8.55,0.0000,0
9.977,0.0000,0.0000,1.1999,8.82,0.0000,0
10.090,0.0000,0.0000,1.1999,8.64,0.0000,0
10.202,0.0000,0.0000,1.1999,8.49,0.0000,0
10.314,0.0000,0.0000,1.1999,8.32,0.0000,0
10.423,0.0000,0.0000,1.1999,8.03,0.0000,0
10.535,0.0000,0.0000,1.1999,8.03,0.0000,0
10.650,0.0000,0.0000,1.1999,6.98,0.0000,0
10.764,0.0000,0.0000,1.2000,5.31,0.0000,0
10.874,0.0000,0.0000,1.2000,4.37,0.0000,0
10.985,0.0000,0.0000,1.2000,3.57,0.0000,0
11.093,0.0000,0.0000,1.2000,3.30,0.0000,0
11.208,0.0000,0.0000,1.2000,3.30,0.0000,0
11.320,0.0000,0.0000,1.2000,2.96,0.0000,0
11.436,0.0000,0.0000,1.2000,2.55,0.0000,0
11.549,0.0000,0.0000,1.2000,2.05,0.0000,0
11.658,0.0000,0.0000,1.2000,1.41,0.0000,0
11.775,0.0000,0.0000,1.2000,0.86,0.0000,0
11.875,0.0000,0.0000,1.2000,0.38,0.0000,0
11.976,0.0000,0.0000,1.2000,0.11,0.0000,0
12.092,0.0000,0.0000,1.2000,0.00,0.0000,0
12.208,0.0000,0.0000,1.2000,0.00,0.0000,0
12.326,0.0000,0.0000,1.2000,0.00,0.0000,0
12.441,0.0000,0.0000,1.2000,0.00,0.0000,0
12.543,0.0000,0.0000,1.2000,0.00,0.0000,0
12.660,0.0000,0.0000,1.2000,0.00,0.0000,0
12.772,0.0000,0.0000,1.2000,0.00,0.0000,0
12.889,0.0000,0.0000,1.2000,0.00,0.0000,0
12.991,0.0000,0.0000,1.2000,0.00,0.0000,0
13.105,0.0000,0.0000,1.2000,0.00,0.0000,0
13.218,0.0000,0.0000,1.2000,0.00,0.0000,0
13.329,0.0000,0.0000,1.2000,0.00,0.0000,0
13.440,0.0000,0.0000,1.2000,0.00,0.0000,0
13.549,0.0000,0.0000,1.2000,0.00,0.0000,0
13.651,0.0000,0.0000,1.2000,0.00,0.0000,0
13.761,0.0000,0.0000,1.2000,0.00,0.0000,0
13.868,0.0000,0.0000,1.2000,0.00,0.0000,0
13.976,0.0000,0.0000,1.2000,0.00,0.0000,0
14.078,0.0000,0.0000,1.2000,0.00,0.0000,0
14.183,0.0000,0.0000,1.2000,0.00,0.0000,0
14.289,0.0000,0.0000,1.2000,0.11,0.0000,0
14.398,0.0000,0.0000,1.2000,0.11,0.0000,0
14.502,0.0000,0.0000,1.2000,0.11,0.0000,0
14.609,0.0000,0.0000,1.2000,0.11,0.0000,0
14.716,0.0000,0.0000,1.2000,0.11,0.0000,0
14.822,0.0078,0.0094,1.2000,0.11,0.0000,1
14.929,0.0183,0.0220,1.2000,0.11,0.0000,1
15.030,0.0286,0.0343,1.2000,0.11,0.0000,1
15.139,0.0395,0.0474,1.2000,0.11,0.0000,1
15.245,0.0500,0.0600,1.2000,0.20,0.0000,1
15.349,0.0602,0.0723,1.2000,0.60,0.0000,1
15.451,0.0707,0.0848,1.2000,0.59,0.0000,1
