scenario,run,samples_active_phase,duration_s,mean_head_rotation_speed,max_head_rotation_speed,mean_adaptation_multiplier,min_adaptation_multiplier,max_adaptation_multiplier,mean_adapted_level,max_adapted_level,mean_discomfort,max_discomfort,high_velocity_ratio,overstimulation_bound_violations,adapted_bound_violations,multiplier_bound_violations,non_negative_adapted_derivative_ratio,adapted_below_overstimulation_ratio,adapted_below_overstimulation_ratio_rapid_regime,max_sign_changes_1s
still,adaptation_data_20260317_134300.csv,212,23.418999999999997,0.23542452830188682,2.7,1.1999999999999997,1.2,1.2,0.7933457547169811,1.0,0.0,0.0,0.0,0,0,0,1.0,0.0,,0
still,adaptation_data_20260317_134357.csv,237,26.157,1.2115611814345992,18.96,1.1999999999999995,1.2,1.2,0.8121481012658228,1.0,0.0,0.0,0.0,0,0,0,1.0,0.0,,0
still,adaptation_data_20260317_134519.csv,244,26.814,0.7131147540983607,3.66,1.1999999999999995,1.2,1.2,0.820277049180328,1.0,0.0,0.0,0.0,0,0,0,1.0,0.0,,0
still,adaptation_data_20260317_134619.csv,294,32.469,0.43523809523809526,4.91,1.2,1.2,1.2,0.8485214285714286,1.0,0.0,0.0,0.0,0,0,0,1.0,0.0,,0
still,adaptation_data_20260317_134723.csv,244,27.069999999999997,1.920450819672131,16.4,1.1999999999999995,1.2,1.2,0.8232622950819672,1.0,0.0,0.0,0.0,0,0,0,1.0,0.0,,0
rapid,adaptation_data_20260317_134832.csv,251,27.369000000000003,137.81517928286854,215.42,0.8675091633466135,0.8,1.1915,0.6398717131474103,0.8758,0.8531609561752987,1.0,0.7808764940239044,0,0,0,0.828,0.8565737051792829,0.9795918367346939,1
rapid,adaptation_data_20260317_135526.csv,234,25.305000000000003,112.1423076923077,188.99,0.8877957264957267,0.8,1.2,0.6296987179487181,0.9606,0.8025371794871795,1.0,0.7692307692307693,0,0,0,0.9399141630901288,0.7991452991452992,0.9777777777777777,1
rapid,adaptation_data_20260317_135618.csv,236,25.621999999999996,143.18182203389833,240.78,0.8977745762711864,0.8,1.2,0.636214406779661,0.9125,0.7812593220338984,1.0,0.7415254237288136,0,0,0,0.9276595744680851,0.7669491525423728,0.9828571428571429,1
rapid,adaptation_data_20260317_135751.csv,268,29.198,141.15563432835822,215.34,0.882548880597015,0.8,1.2,0.6530619402985074,0.8595,0.8226037313432837,1.0,0.7985074626865671,0,0,0,0.9400749063670412,0.8059701492537313,0.9813084112149533,1
rapid,adaptation_data_20260317_135904.csv,308,33.683,148.46074675324675,219.51,0.8567970779220778,0.8,1.2,0.664097077922078,0.8,0.8873334415584415,1.0,0.8733766233766234,0,0,0,0.990228013029316,0.8668831168831169,0.9925650557620818,2
